Time,Channel 1,Channel 2
3589.262889623642,0.52,-0.016
3589.2631423274674,0.536,0.0
3589.2633950312934,0.512,0.0
3589.263647735119,0.536,-0.016
3589.2639004389443,0.52,0.0
3589.2641531427703,0.544,-0.016
3589.2644058465958,0.52,0.0
3589.2646585504212,0.504,-0.016
3589.264911254247,0.512,0.0
3589.2651639580727,0.536,-0.016
3589.265416661898,0.52,-0.008
3589.265669365724,0.536,0.0
3589.2659220695496,0.536,0.0
3589.266174773375,0.52,-0.016
3589.266427477201,0.536,-0.008
3589.2666801810265,0.504,0.0
3589.266932884852,0.52,0.0
3589.267185588678,0.536,-0.016
3589.2674382925034,0.528,0.0
3589.267690996329,0.512,-0.016
3589.267943700155,0.504,-0.008
3589.2681964039803,0.528,0.024
3589.2684491078057,0.52,0.016
3589.2687018116317,0.528,0.12
3589.268954515457,0.528,0.128
3589.2692072192826,0.512,0.272
3589.2694599231086,0.52,0.28
3589.269712626934,0.504,0.352
3589.2699653307595,0.512,0.36
3589.2702180345855,0.528,0.384
3589.270470738411,0.52,0.376
3589.2707234422364,0.544,0.392
3589.2709761460624,0.536,0.384
3589.271228849888,0.52,0.4
3589.2714815537133,0.52,0.384
3589.2717342575393,0.528,0.392
3589.2719869613647,0.52,0.384
3589.27223966519,0.536,0.4
3589.272492369016,0.536,0.392
3589.2727450728416,0.52,0.384
3589.272997776667,0.52,0.392
3589.273250480493,0.504,0.384
3589.2735031843185,0.504,0.384
3589.273755888144,0.544,0.4
3589.27400859197,0.528,0.4
3589.2742612957954,0.544,0.392
3589.274513999621,0.528,0.392
3589.274766703447,0.544,0.4
3589.2750194072723,0.528,0.4
3589.275272111098,0.544,0.384
3589.2755248149238,0.528,0.384
3589.2757775187492,0.544,0.392
3589.2760302225747,0.528,0.384
3589.2762829264007,0.544,0.4
3589.276535630226,0.528,0.392
3589.2767883340516,0.544,0.4
3589.2770410378776,0.528,0.4
3589.277293741703,0.544,0.384
3589.2775464455285,0.528,0.384
3589.2777991493545,0.544,0.4
3589.27805185318,0.528,0.392
3589.2783045570054,0.544,0.4
3589.2785572608313,0.528,0.392
3589.278809964657,0.544,0.4
3589.2790626684823,0.528,0.392
3589.2793153723082,0.544,0.40800000000000003
3589.2795680761337,0.528,0.392
3589.279820779959,0.544,0.432
3589.280073483785,0.528,0.41600000000000004
3589.2803261876106,0.544,0.392
3589.280578891436,0.528,0.392
3589.280831595262,0.544,0.384
3589.2810842990875,0.528,0.384
3589.281337002913,0.544,0.4
3589.281589706739,0.544,0.384
3589.2818424105644,0.528,0.4
3589.28209511439,0.528,0.384
3589.282347818216,0.544,0.4
3589.2826005220413,0.544,0.384
3589.282853225867,0.528,0.4
3589.2831059296927,0.544,0.392
3589.283358633518,0.528,0.384
3589.2836113373437,0.544,0.384
