Time,Channel 1,Channel 2
1873.4546611309052,0.544,-0.016
1873.4549270170928,0.512,0.0
1873.4551929032802,0.512,0.0
1873.455458789468,0.552,-0.016
1873.4557246756553,0.552,0.0
1873.455990561843,0.536,-0.016
1873.4562564480304,0.536,0.0
1873.456522334218,0.544,-0.016
1873.4567882204055,0.544,-0.016
1873.4570541065932,0.52,0.0
1873.4573199927806,0.52,-0.016
1873.4575858789683,0.536,0.0
1873.4578517651557,0.528,-0.016
1873.4581176513434,0.552,0.0
1873.4583835375308,0.528,0.0
1873.4586494237185,0.552,-0.016
1873.458915309906,0.536,-0.016
1873.4591811960936,0.544,0.0
1873.459447082281,0.536,-0.016
1873.4597129684687,0.552,0.0
1873.4599788546561,0.552,-0.008
1873.4602447408438,0.536,0.016
1873.4605106270312,0.552,0.008
1873.460776513219,0.528,0.096
1873.4610423994063,0.536,0.10400000000000001
1873.461308285594,0.552,0.256
1873.4615741717816,0.536,0.264
1873.461840057969,0.552,0.34400000000000003
1873.4621059441567,0.544,0.336
1873.4623718303442,0.512,0.384
1873.4626377165318,0.512,0.4
1873.4629036027193,0.52,0.432
1873.463169488907,0.512,0.40800000000000003
1873.4634353750944,0.52,0.432
1873.463701261282,0.504,0.41600000000000004
1873.4639671474695,0.544,0.384
1873.4642330336571,0.536,0.384
1873.4644989198446,0.552,0.4
1873.4647648060322,0.544,0.4
1873.4650306922197,0.504,0.44
1873.4652965784073,0.52,0.41600000000000004
1873.4655624645948,0.504,0.392
1873.4658283507824,0.504,0.4
1873.4660942369699,0.544,0.432
1873.4663601231575,0.528,0.41600000000000004
1873.466626009345,0.552,0.4
1873.4668918955326,0.552,0.40800000000000003
1873.46715778172,0.528,0.384
1873.4674236679077,0.544,0.376
1873.4676895540952,0.528,0.392
1873.4679554402828,0.536,0.384
1873.4682213264705,0.552,0.392
1873.468487212658,0.536,0.384
1873.4687530988456,0.552,0.40800000000000003
1873.469018985033,0.536,0.432
1873.4692848712207,0.552,0.392
1873.4695507574081,0.528,0.4
1873.4698166435958,0.544,0.376
1873.4700825297832,0.512,0.392
1873.4703484159709,0.536,0.376
1873.4706143021583,0.528,0.384
1873.470880188346,0.552,0.376
1873.4711460745334,0.544,0.376
1873.471411960721,0.504,0.392
1873.4716778469085,0.528,0.384
1873.4719437330962,0.552,0.376
1873.4722096192836,0.536,0.384
1873.4724755054713,0.552,0.376
1873.4727413916587,0.552,0.384
1873.4730072778464,0.536,0.4
1873.4732731640338,0.544,0.4
1873.4735390502215,0.52,0.41600000000000004
1873.473804936409,0.504,0.424
1873.4740708225966,0.536,0.392
1873.474336708784,0.528,0.392
1873.4746025949717,0.552,0.432
1873.4748684811593,0.528,0.432
1873.4751343673468,0.552,0.392
1873.4754002535344,0.528,0.4
1873.4756661397219,0.552,0.384
1873.4759320259095,0.544,0.4
1873.476197912097,0.512,0.384
1873.4764637982846,0.528,0.392
1873.476729684472,0.504,0.432
1873.4769955706597,0.528,0.40800000000000003
1873.4772614568471,0.552,0.384
1873.4775273430348,0.552,0.384
1873.4777932292222,0.512,0.4
1873.47805911541,0.512,0.384
1873.4783250015973,0.544,0.424
1873.478590887785,0.536,0.424
1873.4788567739724,0.552,0.44
1873.47912266016,0.536,0.432
1873.4793885463475,0.552,0.392
1873.4796544325352,0.552,0.4
1873.4799203187226,0.512,0.384
1873.4801862049103,0.512,0.384
1873.4804520910977,0.552,0.4
1873.4807179772854,0.536,0.41600000000000004
1873.4809838634728,0.552,0.384
1873.4812497496605,0.536,0.4
1873.4815156358482,0.552,0.384
1873.4817815220356,0.536,0.384
1873.4820474082233,0.552,0.4
1873.4823132944107,0.536,0.384
1873.4825791805983,0.512,0.392
1873.4828450667858,0.52,0.384
1873.4831109529734,0.504,0.40800000000000003
1873.4833768391609,0.504,0.432
1873.4836427253485,0.544,0.392
1873.483908611536,0.536,0.384
1873.4841744977236,0.544,0.40800000000000003
1873.484440383911,0.544,0.432
1873.4847062700987,0.512,0.392
1873.4849721562862,0.512,0.4
1873.4852380424738,0.496,0.384
