Time,Channel 1,Channel 2
15387.822108507156,0.528,-0.016
15387.822354049882,0.504,-0.008
15387.822599592606,0.496,-0.008
15387.822845135332,0.512,-0.016
15387.823090678055,0.496,-0.016
15387.823336220781,0.512,-0.008
15387.823581763507,0.496,-0.016
15387.82382730623,0.52,0.0
15387.824072848956,0.528,-0.016
15387.82431839168,0.504,0.0
15387.824563934406,0.496,-0.016
15387.82480947713,0.52,-0.008
15387.825055019855,0.528,-0.016
15387.825300562581,0.512,-0.008
15387.825546105305,0.52,-0.008
15387.82579164803,0.536,-0.016
15387.826037190755,0.528,-0.008
15387.82628273348,0.496,-0.016
15387.826528276206,0.496,-0.016
15387.82677381893,0.512,0.0
15387.827019361655,0.512,-0.008
15387.82726490438,0.496,0.032
15387.827510447105,0.512,0.032
15387.827755989829,0.496,0.152
15387.828001532554,0.496,0.168
15387.82824707528,0.504,0.272
15387.828492618004,0.496,0.28
15387.82873816073,0.504,0.36
15387.828983703454,0.496,0.36
15387.82922924618,0.544,0.376
15387.829474788905,0.544,0.376
15387.829720331629,0.52,0.384
15387.829965874354,0.536,0.392
15387.830211417078,0.496,0.424
15387.830456959804,0.496,0.432
15387.83070250253,0.504,0.41600000000000004
15387.830948045254,0.488,0.40800000000000003
15387.83119358798,0.512,0.432
15387.831439130703,0.512,0.432
15387.831684673429,0.536,0.41600000000000004
15387.831930216153,0.544,0.424
15387.832175758878,0.52,0.432
15387.832421301604,0.52,0.432
15387.832666844328,0.552,0.41600000000000004
15387.832912387054,0.552,0.424
15387.833157929777,0.536,0.432
15387.833403472503,0.552,0.432
15387.833649015229,0.536,0.41600000000000004
15387.833894557953,0.536,0.432
15387.834140100678,0.56,0.41600000000000004
15387.834385643402,0.544,0.41600000000000004
15387.834631186128,0.536,0.432
15387.834876728853,0.536,0.424
15387.835122271577,0.56,0.44
15387.835367814303,0.56,0.424
15387.835613357027,0.536,0.41600000000000004
15387.835858899753,0.536,0.41600000000000004
15387.836104442476,0.56,0.432
15387.836349985202,0.56,0.432
15387.836595527928,0.544,0.41600000000000004
15387.836841070652,0.544,0.41600000000000004
15387.837086613377,0.56,0.432
15387.837332156101,0.544,0.44
15387.837577698827,0.56,0.41600000000000004
15387.837823241553,0.56,0.40800000000000003
15387.838068784276,0.536,0.432
15387.838314327002,0.56,0.40800000000000003
15387.838559869726,0.544,0.432
15387.838805412452,0.544,0.41600000000000004
15387.839050955175,0.56,0.432
15387.839296497901,0.56,0.424
15387.839542040627,0.544,0.4
15387.83978758335,0.544,0.4
15387.840033126076,0.56,0.384
15387.8402786688,0.544,0.384
15387.840524211526,0.552,0.376
15387.840769754252,0.552,0.376
15387.841015296975,0.536,0.424
15387.841260839701,0.544,0.41600000000000004
15387.841506382425,0.56,0.432
15387.84175192515,0.544,0.432
15387.841997467876,0.56,0.424
15387.8422430106,0.544,0.424
15387.842488553326,0.56,0.432
15387.84273409605,0.544,0.432
15387.842979638775,0.56,0.424
