Time,Channel 1,Channel 2
5565.44583439827,0.528,-0.016
5565.44610466222,0.544,0.0
5565.4463749261695,0.528,-0.016
5565.44664519012,0.496,0.0
5565.44691545407,0.504,-0.008
5565.44718571802,0.536,-0.016
5565.44745598197,0.552,-0.008
5565.4477262459195,0.528,-0.016
5565.44799650987,0.496,-0.008
5565.44826677382,0.56,-0.016
5565.44853703777,0.544,-0.008
5565.44880730172,0.56,-0.016
5565.44907756567,0.536,-0.016
5565.44934782962,0.56,0.0
5565.44961809357,0.544,0.0
5565.44988835752,0.56,-0.016
5565.45015862147,0.56,-0.008
5565.4504288854205,0.544,-0.016
5565.45069914937,0.544,-0.016
5565.45096941332,0.56,0.0
5565.451239677271,0.544,-0.008
5565.45150994122,0.56,0.016
5565.4517802051705,0.544,0.016
5565.45205046912,0.552,0.112
5565.45232073307,0.544,0.12
5565.452590997021,0.56,0.264
5565.45286126097,0.56,0.264
5565.4531315249205,0.544,0.34400000000000003
5565.453401788871,0.56,0.352
5565.45367205282,0.544,0.376
5565.453942316771,0.56,0.376
5565.45421258072,0.544,0.384
5565.454482844671,0.56,0.392
5565.454753108621,0.544,0.384
5565.45502337257,0.544,0.384
5565.455293636521,0.56,0.384
5565.455563900471,0.544,0.384
5565.455834164421,0.56,0.392
5565.456104428371,0.552,0.384
5565.45637469232,0.544,0.392
5565.456644956271,0.544,0.384
5565.456915220221,0.56,0.392
5565.457185484171,0.544,0.384
5565.457455748121,0.56,0.392
5565.457726012071,0.56,0.384
5565.457996276021,0.544,0.384
5565.458266539971,0.5680000000000001,0.384
5565.458536803921,0.544,0.392
5565.458807067871,0.544,0.384
5565.459077331821,0.56,0.392
5565.459347595771,0.56,0.384
5565.459617859721,0.544,0.392
5565.459888123672,0.544,0.384
5565.460158387621,0.56,0.384
5565.460428651571,0.552,0.392
5565.460698915521,0.536,0.384
5565.460969179471,0.544,0.384
5565.461239443422,0.528,0.392
5565.461509707371,0.544,0.384
5565.461779971321,0.504,0.392
5565.462050235272,0.528,0.384
5565.462320499221,0.552,0.392
5565.462590763172,0.544,0.384
5565.462861027121,0.512,0.392
5565.4631312910715,0.528,0.384
5565.463401555022,0.544,0.392
5565.463671818971,0.544,0.392
5565.463942082922,0.512,0.384
5565.464212346872,0.528,0.384
5565.4644826108215,0.544,0.392
5565.464752874772,0.552,0.384
5565.465023138721,0.528,0.384
5565.465293402672,0.528,0.384
5565.465563666622,0.544,0.384
5565.4658339305715,0.536,0.384
5565.466104194522,0.544,0.384
5565.466374458472,0.536,0.384
5565.466644722422,0.512,0.392
5565.466914986372,0.528,0.384
5565.4671852503225,0.544,0.384
5565.467455514272,0.528,0.384
5565.467725778222,0.544,0.384
5565.467996042172,0.528,0.392
5565.468266306122,0.544,0.384
5565.4685365700725,0.544,0.384
5565.468806834022,0.528,0.392
5565.469077097972,0.528,0.384
5565.469347361923,0.552,0.384
5565.469617625872,0.544,0.384
5565.4698878898225,0.52,0.392
5565.470158153772,0.512,0.384
5565.470428417722,0.552,0.384
5565.470698681673,0.544,0.384
5565.470968945622,0.56,0.4
5565.471239209573,0.544,0.384
5565.471509473523,0.56,0.432
5565.471779737472,0.544,0.424
5565.472050001423,0.56,0.392
5565.472320265372,0.544,0.392
5565.472590529323,0.56,0.384
5565.472860793273,0.544,0.384
5565.473131057222,0.56,0.392
5565.473401321173,0.544,0.392
5565.473671585123,0.56,0.424
5565.473941849073,0.544,0.40800000000000003
5565.474212113023,0.552,0.384
5565.474482376972,0.544,0.384
5565.474752640923,0.56,0.4
5565.475022904873,0.544,0.392
5565.475293168823,0.56,0.384
5565.475563432773,0.56,0.384
5565.475833696723,0.544,0.384
5565.476103960673,0.544,0.384
5565.476374224623,0.56,0.392
5565.476644488573,0.544,0.384
5565.476914752523,0.56,0.40800000000000003
5565.477185016473,0.56,0.424
5565.477455280423,0.544,0.392
5565.477725544373,0.544,0.4
5565.477995808324,0.56,0.384
5565.478266072273,0.544,0.384
5565.478536336223,0.56,0.392
5565.478806600173,0.544,0.392
5565.479076864123,0.56,0.384
5565.479347128074,0.56,0.384
5565.479617392023,0.544,0.392
5565.4798876559735,0.56,0.392
5565.480157919924,0.544,0.424
5565.480428183873,0.56,0.424
5565.480698447824,0.544,0.384
5565.480968711773,0.544,0.384
5565.4812389757235,0.56,0.392
5565.481509239674,0.544,0.4
5565.481779503623,0.56,0.40800000000000003
5565.482049767574,0.544,0.4
5565.482320031524,0.56,0.384
5565.4825902954735,0.544,0.392
5565.482860559424,0.56,0.40800000000000003
5565.483130823373,0.544,0.392
5565.483401087324,0.56,0.40800000000000003
5565.483671351274,0.56,0.4
5565.483941615224,0.544,0.424
5565.484211879174,0.544,0.424
5565.484482143124,0.56,0.4
5565.484752407074,0.56,0.432
5565.485022671024,0.536,0.4
5565.485292934974,0.552,0.40800000000000003
5565.485563198924,0.536,0.392
5565.485833462874,0.544,0.4
5565.486103726824,0.504,0.384
