Time,Channel 1,Channel 2
20469.182552099228,0.536,0.0
20469.18281973779,0.544,-0.016
20469.183087376357,0.536,0.0
20469.18335501492,0.552,-0.016
20469.183622653483,0.544,0.0
20469.18389029205,0.536,-0.016
20469.184157930613,0.536,0.0
20469.184425569176,0.552,-0.016
20469.184693207742,0.536,0.0
20469.184960846305,0.552,-0.016
20469.18522848487,0.536,-0.016
20469.185496123435,0.552,0.0
20469.185763761998,0.536,0.0
20469.18603140056,0.552,-0.016
20469.186299039124,0.552,0.0
20469.18656667769,0.536,-0.016
20469.186834316253,0.536,0.0
20469.187101954816,0.552,-0.016
20469.187369593383,0.536,-0.016
20469.187637231946,0.552,0.0
20469.18790487051,0.552,-0.008
20469.188172509075,0.536,0.024
20469.188440147638,0.536,0.024
20469.1887077862,0.552,0.128
20469.188975424768,0.536,0.136
20469.18924306333,0.552,0.28
20469.189510701894,0.536,0.28
20469.18977834046,0.552,0.352
20469.190045979023,0.552,0.352
20469.190313617586,0.536,0.376
20469.190581256153,0.536,0.376
20469.190848894716,0.552,0.384
20469.19111653328,0.536,0.384
20469.191384171845,0.56,0.392
20469.191651810408,0.552,0.384
20469.19191944897,0.536,0.392
20469.192187087538,0.536,0.392
20469.1924547261,0.552,0.384
20469.192722364663,0.536,0.392
20469.192990003226,0.552,0.384
20469.193257641793,0.536,0.384
20469.193525280356,0.552,0.392
20469.19379291892,0.536,0.384
20469.194060557485,0.552,0.392
20469.19432819605,0.536,0.384
20469.19459583461,0.552,0.392
20469.194863473178,0.536,0.384
20469.19513111174,0.552,0.392
20469.195398750304,0.536,0.384
20469.19566638887,0.552,0.384
20469.195934027433,0.544,0.384
20469.196201665996,0.536,0.384
20469.196469304563,0.536,0.384
20469.196736943126,0.552,0.384
20469.19700458169,0.536,0.384
20469.197272220255,0.552,0.392
20469.19753985882,0.552,0.384
20469.19780749738,0.536,0.392
20469.198075135948,0.536,0.384
20469.19834277451,0.552,0.384
20469.198610413074,0.536,0.384
20469.19887805164,0.552,0.392
20469.199145690203,0.536,0.392
20469.199413328766,0.552,0.376
20469.19968096733,0.536,0.384
20469.199948605896,0.552,0.392
20469.20021624446,0.536,0.384
20469.20048388302,0.56,0.384
20469.20075152159,0.552,0.384
20469.20101916015,0.536,0.392
20469.201286798714,0.536,0.384
20469.20155443728,0.552,0.384
20469.201822075844,0.552,0.384
20469.202089714407,0.536,0.392
20469.202357352973,0.536,0.384
20469.202624991536,0.552,0.392
20469.2028926301,0.536,0.384
20469.203160268666,0.552,0.392
20469.20342790723,0.536,0.384
20469.20369554579,0.552,0.392
20469.203963184358,0.536,0.384
20469.20423082292,0.552,0.384
20469.204498461484,0.536,0.384
20469.20476610005,0.552,0.376
20469.205033738614,0.552,0.384
20469.205301377177,0.536,0.392
20469.205569015743,0.536,0.392
20469.205836654306,0.544,0.384
20469.20610429287,0.536,0.384
20469.206371931432,0.544,0.384
20469.20663957,0.544,0.384
20469.20690720856,0.536,0.392
20469.207174847124,0.536,0.384
20469.20744248569,0.56,0.384
20469.207710124254,0.544,0.384
20469.207977762817,0.536,0.392
20469.208245401383,0.536,0.384
20469.208513039946,0.552,0.392
20469.20878067851,0.536,0.384
20469.209048317076,0.552,0.392
20469.20931595564,0.552,0.384
20469.209583594202,0.536,0.41600000000000004
20469.20985123277,0.536,0.424
20469.21011887133,0.552,0.448
20469.210386509894,0.552,0.448
20469.21065414846,0.528,0.432
20469.210921787024,0.536,0.41600000000000004
20469.211189425587,0.512,0.44
20469.211457064153,0.52,0.41600000000000004
20469.211724702716,0.496,0.44
20469.21199234128,0.496,0.44
20469.212259979846,0.512,0.432
20469.21252761841,0.496,0.44
20469.21279525697,0.52,0.432
20469.213062895535,0.512,0.424
20469.2133305341,0.496,0.44
20469.213598172664,0.504,0.432
20469.213865811227,0.496,0.448
20469.214133449794,0.504,0.432
20469.214401088357,0.488,0.448
20469.21466872692,0.488,0.44
20469.214936365486,0.504,0.424
20469.21520400405,0.488,0.432
20469.215471642612,0.504,0.4
20469.21573928118,0.488,0.4
20469.21600691974,0.504,0.41600000000000004
20469.216274558305,0.504,0.41600000000000004
20469.21654219687,0.544,0.44
20469.216809835434,0.528,0.44
20469.217077473997,0.512,0.424
20469.217345112564,0.528,0.432
20469.217612751127,0.504,0.4
20469.21788038969,0.52,0.40800000000000003
20469.218148028256,0.496,0.432
20469.21841566682,0.496,0.424
20469.218683305382,0.528,0.44
20469.21895094395,0.536,0.424
20469.21921858251,0.512,0.44
20469.219486221074,0.52,0.432
20469.219753859637,0.496,0.41600000000000004
20469.220021498204,0.488,0.424
20469.220289136767,0.504,0.40800000000000003
20469.22055677533,0.488,0.40800000000000003
20469.220824413896,0.504,0.424
20469.22109205246,0.496,0.41600000000000004
20469.221359691022,0.512,0.44
20469.22162732959,0.512,0.432
20469.221894968152,0.488,0.448
20469.222162606715,0.488,0.448
20469.22243024528,0.504,0.424
20469.222697883844,0.496,0.432
20469.222965522407,0.488,0.44
20469.223233160974,0.488,0.44
20469.223500799537,0.504,0.41600000000000004
20469.2237684381,0.496,0.41600000000000004
20469.224036076666,0.536,0.392
20469.22430371523,0.528,0.384
20469.224571353792,0.504,0.4
20469.22483899236,0.504,0.392
20469.22510663092,0.488,0.40800000000000003
20469.225374269485,0.488,0.40800000000000003
20469.22564190805,0.504,0.44
20469.225909546614,0.488,0.432
20469.226177185177,0.504,0.41600000000000004
20469.22644482374,0.488,0.432
20469.226712462307,0.504,0.392
20469.22698010087,0.488,0.4
20469.227247739433,0.504,0.384
20469.227515378,0.488,0.384
20469.227783016562,0.504,0.384
20469.228050655125,0.488,0.384
20469.22831829369,0.496,0.392
20469.228585932255,0.488,0.384
20469.228853570818,0.512,0.384
20469.229121209384,0.488,0.384
20469.229388847947,0.504,0.392
20469.22965648651,0.488,0.392
20469.229924125077,0.512,0.384
20469.23019176364,0.504,0.384
20469.230459402203,0.488,0.392
20469.23072704077,0.488,0.384
20469.230994679332,0.504,0.392
20469.231262317895,0.488,0.384
20469.23152995646,0.504,0.384
20469.231797595025,0.48,0.384
20469.232065233587,0.504,0.384
20469.232332872154,0.496,0.384
20469.232600510717,0.52,0.384
20469.23286814928,0.52,0.384
20469.233135787843,0.496,0.392
20469.23340342641,0.496,0.384
20469.233671064972,0.488,0.384
20469.233938703535,0.488,0.384
20469.234206342102,0.52,0.392
20469.234473980665,0.504,0.384
20469.234741619228,0.488,0.384
20469.235009257794,0.512,0.384
20469.235276896357,0.488,0.392
20469.23554453492,0.488,0.384
20469.235812173487,0.512,0.392
20469.23607981205,0.528,0.384
20469.236347450613,0.488,0.384
20469.23661508918,0.488,0.384
20469.236882727742,0.496,0.392
20469.237150366305,0.488,0.384
20469.237418004872,0.504,0.384
20469.237685643435,0.496,0.384
20469.237953281998,0.488,0.392
20469.238220920564,0.488,0.384
20469.238488559127,0.504,0.392
20469.23875619769,0.496,0.384
20469.239023836257,0.488,0.392
20469.23929147482,0.496,0.384
20469.239559113383,0.52,0.392
20469.239826751946,0.512,0.384
20469.240094390512,0.536,0.392
20469.240362029075,0.512,0.384
20469.240629667638,0.496,0.384
20469.240897306205,0.496,0.384
20469.241164944768,0.544,0.384
20469.24143258333,0.544,0.384
20469.241700221897,0.528,0.392
20469.24196786046,0.528,0.384
20469.242235499023,0.544,0.392
20469.24250313759,0.528,0.384
20469.242770776153,0.544,0.392
20469.243038414716,0.528,0.384
20469.243306053282,0.544,0.392
20469.243573691845,0.536,0.384
20469.243841330408,0.544,0.384
