Time,Channel 1,Channel 2
17987.83129811287,0.536,-0.016
17987.831569590966,0.552,0.0
17987.831841069063,0.536,-0.016
17987.83211254716,0.552,0.0
17987.832384025256,0.536,-0.016
17987.832655503353,0.552,0.0
17987.83292698145,0.536,-0.016
17987.833198459546,0.552,0.0
17987.833469937643,0.536,-0.016
17987.83374141574,0.552,0.0
17987.834012893836,0.536,-0.016
17987.834284371933,0.552,0.0
17987.83455585003,0.536,-0.016
17987.834827328126,0.552,0.0
17987.835098806223,0.552,0.0
17987.83537028432,0.536,-0.016
17987.835641762416,0.536,-0.016
17987.835913240513,0.552,0.0
17987.83618471861,0.536,-0.016
17987.836456196706,0.552,0.0
17987.836727674803,0.536,-0.008
17987.8369991529,0.544,0.016
17987.837270630996,0.536,0.016
17987.837542109093,0.544,0.12
17987.83781358719,0.536,0.128
17987.838085065287,0.552,0.272
17987.838356543383,0.536,0.28
17987.83862802148,0.552,0.352
17987.838899499577,0.544,0.352
17987.839170977673,0.536,0.376
17987.83944245577,0.536,0.376
17987.839713933867,0.552,0.384
17987.839985411963,0.536,0.392
17987.84025689006,0.552,0.384
17987.840528368157,0.536,0.392
17987.840799846254,0.552,0.384
17987.84107132435,0.536,0.384
17987.841342802447,0.552,0.392
17987.84161428054,0.536,0.392
17987.841885758637,0.552,0.384
17987.842157236733,0.536,0.384
17987.84242871483,0.552,0.392
17987.842700192927,0.536,0.384
17987.842971671023,0.552,0.392
17987.84324314912,0.552,0.392
17987.843514627217,0.536,0.384
17987.843786105313,0.536,0.4
17987.84405758341,0.552,0.384
17987.844329061507,0.536,0.384
17987.844600539604,0.552,0.392
17987.8448720177,0.536,0.384
17987.845143495797,0.552,0.4
17987.845414973894,0.536,0.384
17987.84568645199,0.552,0.392
17987.845957930087,0.536,0.384
17987.846229408184,0.552,0.392
17987.84650088628,0.536,0.392
17987.846772364377,0.552,0.384
17987.847043842474,0.552,0.384
17987.84731532057,0.528,0.392
17987.847586798667,0.528,0.384
17987.847858276764,0.544,0.392
17987.84812975486,0.544,0.384
17987.848401232957,0.52,0.392
17987.848672711054,0.528,0.384
17987.84894418915,0.544,0.392
17987.849215667247,0.536,0.392
17987.849487145344,0.496,0.384
17987.84975862344,0.488,0.384
17987.850030101537,0.512,0.392
17987.850301579634,0.496,0.384
17987.85057305773,0.504,0.392
17987.850844535827,0.496,0.384
17987.851116013924,0.512,0.392
17987.85138749202,0.504,0.392
17987.851658970118,0.488,0.384
17987.851930448214,0.488,0.384
17987.85220192631,0.512,0.392
17987.852473404408,0.512,0.384
17987.852744882504,0.488,0.392
17987.8530163606,0.488,0.384
17987.853287838698,0.504,0.392
17987.853559316794,0.504,0.384
17987.85383079489,0.488,0.4
17987.854102272988,0.496,0.4
17987.854373751084,0.488,0.384
17987.85464522918,0.488,0.384
17987.854916707278,0.504,0.4
17987.855188185375,0.512,0.4
17987.85545966347,0.488,0.384
17987.855731141568,0.488,0.384
17987.856002619665,0.496,0.392
17987.85627409776,0.488,0.384
17987.856545575858,0.496,0.4
17987.856817053955,0.488,0.392
17987.85708853205,0.496,0.384
17987.857360010148,0.488,0.392
17987.857631488245,0.52,0.384
17987.85790296634,0.512,0.392
17987.85817444444,0.528,0.384
17987.858445922535,0.52,0.384
17987.85871740063,0.536,0.384
17987.85898887873,0.536,0.384
17987.859260356825,0.52,0.392
17987.85953183492,0.528,0.384
17987.85980331302,0.496,0.4
17987.860074791115,0.496,0.392
17987.86034626921,0.536,0.384
17987.86061774731,0.52,0.384
17987.860889225405,0.488,0.392
17987.8611607035,0.488,0.384
17987.8614321816,0.496,0.4
17987.861703659695,0.488,0.384
17987.86197513779,0.504,0.4
17987.862246615885,0.488,0.384
17987.86251809398,0.504,0.384
17987.86278957208,0.488,0.384
17987.863061050175,0.504,0.392
17987.86333252827,0.488,0.384
17987.86360400637,0.496,0.392
17987.863875484465,0.488,0.384
17987.86414696256,0.496,0.392
17987.86441844066,0.488,0.384
17987.864689918755,0.496,0.4
17987.864961396852,0.488,0.384
17987.86523287495,0.504,0.392
17987.865504353045,0.488,0.392
17987.865775831142,0.496,0.384
17987.86604730924,0.488,0.384
17987.866318787335,0.496,0.384
17987.866590265432,0.496,0.384
17987.86686174353,0.488,0.384
17987.867133221625,0.488,0.384
17987.867404699722,0.504,0.384
17987.86767617782,0.488,0.384
17987.867947655915,0.504,0.392
17987.868219134012,0.496,0.384
17987.86849061211,0.528,0.384
17987.868762090206,0.512,0.384
17987.869033568302,0.488,0.392
17987.8693050464,0.488,0.384
17987.869576524496,0.496,0.384
17987.869848002592,0.488,0.384
17987.87011948069,0.496,0.392
17987.870390958786,0.496,0.392
17987.870662436882,0.488,0.384
17987.87093391498,0.488,0.392
17987.871205393076,0.496,0.384
17987.871476871172,0.496,0.384
17987.87174834927,0.48,0.4
17987.872019827366,0.488,0.384
