Time,Channel 1,Channel 2
20393.861703395844,0.544,0.0
20393.861969230573,0.56,-0.016
20393.862235065302,0.544,0.0
20393.86250090003,0.56,-0.008
20393.862766734757,0.544,0.0
20393.863032569487,0.56,-0.016
20393.863298404216,0.544,0.0
20393.863564238945,0.56,-0.016
20393.863830073675,0.56,0.0
20393.864095908404,0.536,-0.016
20393.864361743133,0.544,0.0
20393.864627577863,0.56,-0.016
20393.86489341259,0.544,-0.016
20393.865159247318,0.552,0.0
20393.865425082047,0.544,-0.016
20393.865690916777,0.56,0.0
20393.865956751506,0.544,-0.016
20393.866222586235,0.56,0.0
20393.866488420965,0.544,-0.016
20393.86675425569,0.56,0.0
20393.86702009042,0.544,-0.008
20393.86728592515,0.56,0.024
20393.86755175988,0.544,0.024
20393.867817594608,0.552,0.128
20393.868083429337,0.544,0.136
20393.868349264067,0.56,0.28
20393.868615098796,0.544,0.28800000000000003
20393.86888093352,0.552,0.36
20393.86914676825,0.536,0.36
20393.86941260298,0.56,0.384
20393.86967843771,0.544,0.384
20393.86994427244,0.56,0.4
20393.87021010717,0.544,0.384
20393.870475941898,0.56,0.4
20393.870741776624,0.544,0.4
20393.871007611353,0.56,0.384
20393.871273446082,0.544,0.384
20393.87153928081,0.56,0.4
20393.87180511554,0.552,0.392
20393.87207095027,0.536,0.384
20393.872336785,0.544,0.384
20393.87260261973,0.552,0.4
20393.872868454455,0.544,0.392
20393.873134289184,0.56,0.4
20393.873400123914,0.544,0.392
20393.873665958643,0.56,0.4
20393.873931793372,0.544,0.392
20393.8741976281,0.552,0.392
20393.87446346283,0.544,0.392
20393.874729297557,0.56,0.4
20393.874995132286,0.544,0.392
20393.875260967015,0.56,0.4
20393.875526801745,0.544,0.392
20393.875792636474,0.56,0.4
20393.876058471204,0.544,0.392
20393.876324305933,0.56,0.4
20393.876590140662,0.56,0.4
20393.876855975388,0.544,0.392
20393.877121810117,0.544,0.392
20393.877387644847,0.56,0.392
20393.877653479576,0.552,0.384
20393.877919314305,0.536,0.4
20393.878185149035,0.544,0.392
20393.878450983764,0.56,0.4
20393.87871681849,0.544,0.392
20393.87898265322,0.552,0.4
20393.87924848795,0.544,0.392
20393.879514322678,0.552,0.4
20393.879780157407,0.56,0.392
20393.880045992137,0.536,0.392
20393.880311826866,0.544,0.4
20393.880577661595,0.56,0.384
20393.88084349632,0.544,0.392
20393.88110933105,0.56,0.392
20393.88137516578,0.544,0.392
20393.88164100051,0.56,0.4
20393.88190683524,0.536,0.392
20393.882172669968,0.56,0.4
20393.882438504697,0.544,0.392
20393.882704339423,0.552,0.4
20393.882970174152,0.544,0.384
