Time,Channel 1,Channel 2
20126.781866550446,0.52,-0.016
20126.78211521248,0.536,0.0
20126.782363874514,0.52,0.0
20126.78261253655,0.536,-0.016
20126.782861198586,0.52,-0.008
20126.78310986062,0.536,-0.016
20126.783358522654,0.52,-0.016
20126.783607184687,0.536,-0.008
20126.783855846723,0.536,-0.016
20126.78410450876,0.52,0.0
20126.78435317079,0.52,-0.008
20126.784601832827,0.536,-0.016
20126.784850494863,0.52,-0.016
20126.785099156896,0.536,-0.008
20126.78534781893,0.52,-0.008
20126.785596480964,0.528,-0.016
20126.785845143,0.52,-0.016
20126.786093805036,0.528,0.0
20126.78634246707,0.52,-0.016
20126.786591129105,0.528,0.0
20126.78683979114,0.52,-0.008
20126.787088453173,0.536,0.016
20126.78733711521,0.52,0.016
20126.78758577724,0.528,0.12
20126.787834439278,0.52,0.128
20126.788083101314,0.528,0.272
20126.788331763346,0.52,0.272
20126.788580425382,0.536,0.352
20126.788829087418,0.52,0.36
20126.78907774945,0.536,0.384
20126.789326411486,0.52,0.376
20126.78957507352,0.528,0.4
20126.789823735555,0.52,0.384
20126.79007239759,0.536,0.4
20126.790321059623,0.52,0.392
20126.79056972166,0.536,0.384
20126.790818383695,0.52,0.392
20126.791067045728,0.536,0.4
20126.791315707764,0.52,0.384
20126.791564369796,0.536,0.4
20126.791813031832,0.52,0.392
20126.792061693868,0.536,0.4
20126.7923103559,0.52,0.384
20126.792559017937,0.536,0.4
20126.792807679973,0.52,0.4
20126.793056342005,0.536,0.384
20126.79330500404,0.52,0.392
20126.793553666073,0.528,0.384
20126.79380232811,0.52,0.392
20126.794050990145,0.536,0.4
20126.794299652178,0.52,0.4
20126.794548314214,0.536,0.392
20126.79479697625,0.52,0.392
20126.795045638282,0.536,0.4
20126.79529430032,0.52,0.4
20126.79554296235,0.528,0.384
20126.795791624387,0.52,0.4
20126.796040286423,0.544,0.384
20126.796288948455,0.52,0.392
20126.79653761049,0.536,0.4
20126.796786272527,0.52,0.392
20126.79703493456,0.536,0.392
20126.797283596596,0.52,0.392
20126.797532258628,0.536,0.392
20126.797780920664,0.52,0.4
20126.7980295827,0.536,0.392
20126.798278244733,0.52,0.4
20126.79852690677,0.528,0.384
20126.798775568805,0.52,0.4
20126.799024230837,0.536,0.384
20126.799272892873,0.52,0.392
20126.799521554905,0.536,0.4
20126.79977021694,0.52,0.392
20126.800018878977,0.536,0.4
20126.80026754101,0.52,0.4
20126.800516203046,0.536,0.392
20126.800764865082,0.52,0.392
20126.801013527114,0.528,0.4
20126.80126218915,0.52,0.392
20126.801510851186,0.536,0.4
20126.80175951322,0.52,0.392
20126.802008175255,0.528,0.4
20126.802256837287,0.52,0.392
20126.802505499323,0.536,0.4
20126.80275416136,0.52,0.384
20126.80300282339,0.536,0.4
20126.803251485428,0.52,0.4
20126.803500147464,0.536,0.384
20126.803748809496,0.52,0.392
20126.803997471532,0.536,0.4
20126.804246133564,0.52,0.392
20126.8044947956,0.536,0.4
20126.804743457637,0.52,0.392
20126.80499211967,0.536,0.4
20126.805240781705,0.52,0.392
20126.80548944374,0.528,0.4
20126.805738105773,0.52,0.392
20126.80598676781,0.544,0.392
20126.80623542984,0.52,0.392
20126.806484091878,0.536,0.392
20126.806732753914,0.52,0.392
20126.806981415946,0.536,0.384
20126.807230077982,0.536,0.384
20126.80747874002,0.52,0.4
20126.80772740205,0.52,0.4
20126.807976064087,0.536,0.384
20126.80822472612,0.52,0.392
20126.808473388155,0.536,0.384
20126.80872205019,0.52,0.392
20126.808970712224,0.536,0.4
20126.80921937426,0.536,0.392
20126.809468036296,0.52,0.4
20126.809716698328,0.52,0.384
20126.809965360364,0.536,0.4
20126.810214022396,0.536,0.392
20126.810462684432,0.52,0.392
20126.81071134647,0.528,0.4
20126.8109600085,0.512,0.392
20126.811208670537,0.52,0.392
20126.811457332573,0.528,0.392
20126.811705994605,0.52,0.392
20126.81195465664,0.528,0.4
20126.812203318674,0.52,0.392
20126.81245198071,0.536,0.4
20126.812700642746,0.528,0.392
20126.812949304778,0.52,0.4
20126.813197966814,0.52,0.4
