Time,Channel 1,Channel 2
10825.05741405487,0.52,-0.016
10825.057641402682,0.504,0.0
10825.057868750493,0.52,-0.016
10825.058096098304,0.504,0.0
10825.058323446116,0.504,0.0
10825.058550793927,0.512,-0.016
10825.058778141736,0.504,0.0
10825.059005489547,0.512,-0.016
10825.059232837359,0.504,0.0
10825.05946018517,0.512,-0.016
10825.059687532981,0.504,-0.016
10825.059914880792,0.52,0.0
10825.060142228604,0.512,-0.016
10825.060369576415,0.496,0.0
10825.060596924226,0.504,0.0
10825.060824272037,0.52,-0.016
10825.061051619849,0.504,0.0
10825.061278967658,0.512,-0.016
10825.06150631547,0.504,-0.008
10825.06173366328,0.512,0.0
10825.061961011092,0.504,-0.008
10825.062188358903,0.512,0.024
10825.062415706714,0.52,0.024
10825.062643054525,0.504,0.128
10825.062870402337,0.504,0.136
10825.063097750148,0.512,0.28
10825.063325097959,0.504,0.28
10825.063552445768,0.52,0.352
10825.06377979358,0.512,0.34400000000000003
10825.06400714139,0.496,0.376
10825.064234489202,0.504,0.376
10825.064461837013,0.52,0.384
10825.064689184825,0.504,0.384
10825.064916532636,0.52,0.392
10825.065143880447,0.504,0.384
10825.065371228258,0.512,0.384
10825.06559857607,0.504,0.384
10825.06582592388,0.52,0.392
10825.06605327169,0.504,0.384
10825.066280619501,0.512,0.392
10825.066507967313,0.504,0.384
10825.066735315124,0.52,0.392
10825.066962662935,0.512,0.384
10825.067190010746,0.496,0.376
10825.067417358558,0.504,0.392
10825.067644706369,0.52,0.384
10825.06787205418,0.504,0.384
10825.068099401991,0.52,0.392
10825.068326749803,0.504,0.384
10825.068554097612,0.52,0.392
10825.068781445423,0.512,0.384
10825.069008793234,0.496,0.392
10825.069236141046,0.504,0.384
10825.069463488857,0.512,0.392
10825.069690836668,0.504,0.384
10825.06991818448,0.52,0.392
10825.07014553229,0.504,0.392
10825.070372880102,0.52,0.376
10825.070600227913,0.52,0.384
10825.070827575722,0.504,0.368
10825.071054923534,0.504,0.368
10825.071282271345,0.52,0.384
10825.071509619156,0.512,0.384
10825.071736966967,0.504,0.376
10825.071964314779,0.504,0.376
10825.07219166259,0.52,0.376
