Time,Channel 1,Channel 2
13977.27280330658,0.536,-0.016
13977.27304960231,0.544,0.0
13977.27329589804,0.536,0.0
13977.27354219377,0.544,-0.016
13977.273788489501,0.536,-0.016
13977.27403478523,0.544,0.0
13977.274281080961,0.536,0.0
13977.274527376692,0.552,-0.016
13977.274773672421,0.536,0.0
13977.275019968152,0.544,-0.008
13977.275266263883,0.536,0.0
13977.275512559612,0.544,-0.016
13977.275758855343,0.536,0.0
13977.276005151072,0.552,-0.016
13977.276251446803,0.536,0.0
13977.276497742534,0.552,-0.016
13977.276744038263,0.536,0.0
13977.276990333994,0.552,-0.008
13977.277236629725,0.536,0.0
13977.277482925454,0.56,-0.008
13977.277729221185,0.536,-0.008
13977.277975516916,0.552,0.024
13977.278221812645,0.536,0.032
13977.278468108376,0.552,0.136
13977.278714404107,0.536,0.136
13977.278960699836,0.552,0.272
13977.279206995567,0.536,0.272
13977.279453291298,0.552,0.34400000000000003
13977.279699587027,0.536,0.34400000000000003
13977.279945882758,0.552,0.368
13977.280192178489,0.552,0.368
13977.280438474218,0.536,0.376
13977.280684769948,0.536,0.376
13977.28093106568,0.544,0.368
13977.281177361408,0.552,0.376
13977.28142365714,0.528,0.376
13977.28166995287,0.544,0.376
13977.2819162486,0.52,0.384
13977.28216254433,0.528,0.376
13977.28240884006,0.512,0.376
13977.28265513579,0.512,0.376
13977.282901431521,0.536,0.376
13977.28314772725,0.528,0.376
13977.283394022981,0.544,0.384
13977.283640318712,0.536,0.376
13977.283886614441,0.512,0.376
13977.284132910172,0.536,0.376
13977.284379205903,0.512,0.384
13977.284625501632,0.512,0.376
13977.284871797363,0.52,0.384
13977.285118093094,0.512,0.376
13977.285364388823,0.528,0.384
13977.285610684554,0.512,0.376
13977.285856980285,0.536,0.376
13977.286103276014,0.528,0.376
13977.286349571745,0.544,0.384
13977.286595867476,0.52,0.376
13977.286842163205,0.544,0.384
13977.287088458936,0.552,0.376
13977.287334754667,0.528,0.384
13977.287581050396,0.536,0.376
13977.287827346127,0.552,0.376
13977.288073641857,0.544,0.376
13977.288319937586,0.528,0.384
13977.288566233317,0.536,0.376
13977.288812529046,0.552,0.384
13977.289058824777,0.536,0.384
13977.289305120508,0.544,0.368
13977.289551416237,0.536,0.376
13977.289797711968,0.552,0.384
13977.2900440077,0.536,0.376
13977.290290303428,0.552,0.376
13977.29053659916,0.536,0.376
13977.29078289489,0.552,0.376
13977.29102919062,0.552,0.376
13977.29127548635,0.536,0.376
13977.291521782081,0.536,0.376
13977.29176807781,0.544,0.376
13977.292014373541,0.552,0.376
13977.292260669272,0.528,0.376
13977.292506965001,0.536,0.376
13977.292753260732,0.544,0.376
13977.292999556463,0.552,0.376
13977.293245852192,0.536,0.384
13977.293492147923,0.536,0.376
13977.293738443654,0.552,0.384
13977.293984739383,0.536,0.376
13977.294231035114,0.552,0.368
13977.294477330843,0.536,0.368
13977.294723626574,0.552,0.384
13977.294969922305,0.536,0.376
13977.295216218034,0.552,0.376
13977.295462513765,0.536,0.376
13977.295708809495,0.552,0.376
13977.295955105224,0.536,0.376
13977.296201400955,0.552,0.384
13977.296447696686,0.552,0.376
13977.296693992415,0.536,0.376
13977.296940288146,0.536,0.376
13977.297186583877,0.56,0.376
13977.297432879606,0.536,0.384
13977.297679175337,0.552,0.376
13977.297925471068,0.536,0.376
13977.298171766797,0.544,0.376
13977.298418062528,0.544,0.376
13977.298664358259,0.536,0.376
13977.298910653988,0.536,0.376
13977.299156949719,0.544,0.384
13977.29940324545,0.536,0.376
13977.299649541179,0.552,0.376
13977.29989583691,0.528,0.376
13977.30014213264,0.544,0.376
13977.30038842837,0.536,0.376
13977.3006347241,0.512,0.384
13977.30088101983,0.512,0.376
13977.30112731556,0.528,0.384
13977.301373611292,0.52,0.376
13977.30161990702,0.544,0.384
13977.301866202752,0.528,0.376
13977.302112498483,0.536,0.384
13977.302358794212,0.536,0.376
13977.302605089943,0.52,0.384
13977.302851385673,0.528,0.376
13977.303097681403,0.512,0.376
13977.303343977133,0.512,0.376
13977.303590272864,0.544,0.384
13977.303836568593,0.544,0.376
13977.304082864324,0.52,0.384
13977.304329160055,0.536,0.376
13977.304575455784,0.512,0.384
13977.304821751515,0.512,0.376
13977.305068047246,0.536,0.384
13977.305314342975,0.512,0.376
13977.305560638706,0.528,0.376
13977.305806934437,0.512,0.376
13977.306053230166,0.52,0.376
13977.306299525897,0.52,0.376
13977.306545821628,0.512,0.4
13977.306792117357,0.512,0.40800000000000003
13977.307038413088,0.536,0.44
13977.307284708817,0.528,0.424
13977.307531004548,0.544,0.44
13977.307777300279,0.536,0.432
13977.308023596008,0.512,0.448
13977.308269891739,0.512,0.448
