Time,Channel 1,Channel 2
12680.939855575562,0.528,-0.016
12680.940128761133,0.536,0.0
12680.940401946704,0.528,0.0
12680.940675132275,0.536,-0.016
12680.940948317846,0.52,0.0
12680.941221503417,0.544,-0.016
12680.941494688988,0.536,0.0
12680.94176787456,0.512,-0.016
12680.94204106013,0.536,-0.008
12680.942314245702,0.512,0.0
12680.942587431271,0.512,-0.008
12680.942860616842,0.496,0.0
12680.943133802413,0.496,0.0
12680.943406987984,0.504,-0.016
12680.943680173556,0.496,0.0
12680.943953359127,0.504,-0.016
12680.944226544698,0.496,0.0
12680.944499730269,0.512,-0.016
12680.94477291584,0.512,-0.016
12680.945046101411,0.488,0.0
12680.945319286982,0.496,-0.008
12680.945592472553,0.504,0.024
12680.945865658125,0.496,0.016
12680.946138843696,0.512,0.128
12680.946412029267,0.496,0.136
12680.946685214838,0.512,0.272
12680.94695840041,0.496,0.28800000000000003
12680.94723158598,0.512,0.36
12680.947504771551,0.488,0.36
12680.94777795712,0.512,0.376
12680.948051142692,0.504,0.376
12680.948324328263,0.488,0.392
12680.948597513834,0.504,0.384
12680.948870699405,0.488,0.392
12680.949143884976,0.504,0.384
12680.949417070547,0.488,0.4
12680.949690256119,0.488,0.384
12680.94996344169,0.52,0.392
12680.95023662726,0.536,0.384
12680.950509812832,0.504,0.4
12680.950782998403,0.504,0.384
12680.951056183974,0.496,0.392
12680.951329369545,0.488,0.384
12680.951602555117,0.504,0.392
12680.951875740688,0.512,0.384
12680.952148926259,0.488,0.392
12680.95242211183,0.488,0.384
12680.9526952974,0.504,0.392
12680.95296848297,0.496,0.384
12680.953241668542,0.528,0.392
12680.953514854113,0.528,0.4
12680.953788039684,0.504,0.384
12680.954061225255,0.496,0.4
12680.954334410826,0.504,0.384
12680.954607596397,0.488,0.384
12680.954880781968,0.504,0.4
12680.95515396754,0.496,0.392
12680.95542715311,0.512,0.384
12680.955700338682,0.504,0.384
12680.955973524253,0.488,0.4
12680.956246709824,0.496,0.384
12680.956519895395,0.488,0.392
12680.956793080966,0.488,0.384
12680.957066266537,0.504,0.4
12680.957339452108,0.488,0.4
12680.95761263768,0.512,0.384
12680.957885823249,0.488,0.384
12680.95815900882,0.512,0.4
12680.958432194391,0.488,0.384
12680.958705379962,0.504,0.4
12680.958978565533,0.504,0.392
12680.959251751105,0.488,0.384
12680.959524936676,0.512,0.384
12680.959798122247,0.496,0.4
12680.960071307818,0.488,0.384
12680.96034449339,0.496,0.4
12680.96061767896,0.488,0.4
12680.960890864531,0.504,0.384
12680.961164050103,0.504,0.4
12680.961437235674,0.488,0.384
12680.961710421245,0.504,0.384
12680.961983606816,0.488,0.4
12680.962256792387,0.488,0.392
12680.962529977958,0.504,0.384
12680.96280316353,0.504,0.392
12680.963076349099,0.488,0.384
12680.96334953467,0.496,0.384
12680.96362272024,0.488,0.392
12680.963895905812,0.488,0.384
12680.964169091383,0.504,0.4
12680.964442276954,0.488,0.392
12680.964715462525,0.504,0.384
12680.964988648097,0.496,0.392
12680.965261833668,0.488,0.384
12680.965535019239,0.496,0.384
12680.96580820481,0.528,0.392
12680.966081390381,0.528,0.384
12680.966354575952,0.496,0.4
12680.966627761523,0.488,0.384
12680.966900947094,0.504,0.392
12680.967174132666,0.496,0.384
12680.967447318237,0.528,0.392
12680.967720503808,0.528,0.392
12680.967993689379,0.512,0.384
12680.968266874948,0.52,0.384
12680.96854006052,0.536,0.392
12680.96881324609,0.52,0.392
12680.969086431662,0.544,0.384
12680.969359617233,0.52,0.4
12680.969632802804,0.536,0.384
12680.969905988375,0.52,0.392
12680.970179173946,0.536,0.384
12680.970452359517,0.528,0.384
12680.970725545088,0.536,0.392
12680.97099873066,0.528,0.384
12680.97127191623,0.544,0.392
12680.971545101802,0.528,0.384
12680.971818287373,0.512,0.4
12680.972091472944,0.512,0.384
12680.972364658515,0.488,0.4
12680.972637844086,0.496,0.384
12680.972911029658,0.504,0.4
12680.973184215227,0.512,0.384
12680.973457400798,0.488,0.4
12680.97373058637,0.488,0.384
12680.97400377194,0.504,0.4
12680.974276957511,0.488,0.384
12680.974550143083,0.504,0.392
12680.974823328654,0.504,0.384
12680.975096514225,0.488,0.4
12680.975369699796,0.488,0.384
12680.975642885367,0.504,0.4
12680.975916070938,0.504,0.384
12680.97618925651,0.488,0.4
12680.97646244208,0.488,0.384
12680.976735627652,0.504,0.392
12680.977008813223,0.496,0.384
12680.977281998794,0.504,0.4
12680.977555184365,0.504,0.384
12680.977828369936,0.488,0.392
12680.978101555507,0.496,0.384
12680.978374741077,0.52,0.392
12680.978647926648,0.52,0.384
12680.978921112219,0.496,0.4
12680.97919429779,0.496,0.392
12680.979467483361,0.536,0.384
12680.979740668932,0.52,0.384
12680.980013854503,0.528,0.392
12680.980287040074,0.536,0.384
12680.980560225646,0.52,0.392
12680.980833411217,0.528,0.392
12680.981106596788,0.52,0.384
12680.981379782359,0.536,0.384
12680.98165296793,0.512,0.4
12680.981926153501,0.52,0.384
12680.982199339072,0.512,0.4
12680.982472524644,0.504,0.384
12680.982745710215,0.536,0.4
12680.983018895786,0.544,0.384
12680.983292081357,0.52,0.392
12680.983565266926,0.528,0.384
12680.983838452497,0.536,0.4
12680.984111638068,0.536,0.384
12680.98438482364,0.52,0.392
12680.98465800921,0.536,0.384
12680.984931194782,0.496,0.4
12680.985204380353,0.504,0.4
12680.985477565924,0.52,0.384
12680.985750751495,0.52,0.384
12680.986023937066,0.544,0.4
12680.986297122638,0.528,0.384
12680.986570308209,0.544,0.4
12680.98684349378,0.536,0.384
12680.987116679351,0.52,0.4
12680.987389864922,0.536,0.384
12680.987663050493,0.52,0.4
12680.987936236064,0.536,0.384
12680.988209421635,0.52,0.392
12680.988482607207,0.528,0.392
12680.988755792776,0.504,0.384
12680.989028978347,0.512,0.384
12680.989302163918,0.496,0.4
12680.98957534949,0.504,0.4
12680.98984853506,0.496,0.384
12680.990121720632,0.512,0.384
12680.990394906203,0.496,0.392
12680.990668091774,0.488,0.384
12680.990941277345,0.512,0.392
12680.991214462916,0.496,0.392
12680.991487648487,0.528,0.384
12680.991760834058,0.52,0.384
12680.99203401963,0.544,0.4
12680.9923072052,0.544,0.392
12680.992580390772,0.528,0.384
12680.992853576343,0.52,0.384
12680.993126761914,0.528,0.392
12680.993399947485,0.528,0.384
